"","Gender","Ever_Married","Age","Graduated","Profession","Work_Experience","Spending_Score","Family_Size","clusters$cluster"
"81","Male","No",30,"No","Healthcare",0,"Low",4,6
"82","Female","No",26,"No","Healthcare",6,"Low",3,6
"83","Male","Yes",63,"Yes","Artist",8,"Low",1,5
"84","Male","Yes",35,"No","Entertainment",8,"Average",4,3
"85","Female","No",19,"No","Marketing",1,"Low",3,5
"86","Male","No",32,"No","Healthcare",7,"Low",5,6
"87","Male","Yes",52,"Yes","Artist",0,"Average",3,3
"88","Female","Yes",36,"Yes","Artist",5,"Low",2,5
"89","Female","No",42,"No","Entertainment",7,"Low",3,5
"90","Male","Yes",40,"No","Doctor",0,"Average",2,3
"91","Male","No",39,"Yes","Entertainment",0,"Low",3,5
"92","Female","Yes",47,"Yes","Artist",1,"Average",4,3
"93","Female","Yes",61,"Yes","Artist",1,"High",2,5
"94","Male","Yes",32,"No","Entertainment",1,"Low",2,5
"95","Male","Yes",55,"No","Artist",0,"Low",1,5
"97","Female","No",38,"Yes","Artist",0,"Low",1,5
"98","Male","Yes",63,"Yes","Artist",0,"High",2,5
"99","Male","Yes",58,"Yes","Doctor",1,"Average",2,3
"100","Male","Yes",30,"No","Engineer",3,"Average",3,1
"101","Male","Yes",60,"Yes","Artist",0,"Average",4,3
"102","Male","Yes",68,"No","Executive",1,"High",7,2
"103","Male","Yes",52,"No","Artist",0,"Low",3,5
"104","Male","Yes",38,"No","Executive",0,"High",5,2
"105","Female","Yes",35,"Yes","Healthcare",10,"Low",2,6
"106","Male","No",18,"No","Doctor",1,"Low",2,5
"107","Male","Yes",30,"Yes","Homemaker",3,"Low",2,1
"108","Male","No",86,"No","Lawyer",1,"Low",1,4
"110","Male","No",25,"No","Healthcare",9,"Low",3,6
"112","Female","No",39,"Yes","Artist",0,"Low",1,5
"114","Male","No",47,"Yes","Artist",1,"Low",1,5
"115","Male","Yes",43,"Yes","Executive",0,"High",3,2
"116","Male","Yes",36,"No","Executive",8,"Average",4,2
"117","Male","Yes",80,"No","Lawyer",1,"Low",1,4
"118","Male","No",36,"Yes","Artist",0,"Low",2,5
"120","Female","Yes",37,"Yes","Artist",1,"High",2,5
"121","Male","Yes",46,"Yes","Executive",0,"High",3,2
"122","Male","Yes",55,"No","Executive",1,"High",4,2
"123","Female","Yes",47,"No","Engineer",9,"Average",4,1
"124","Female","No",28,"Yes","Healthcare",1,"Low",3,6
"125","Male","Yes",39,"No","Entertainment",9,"Low",2,5
"126","Female","Yes",27,"No","Marketing",1,"Low",2,5
"128","Male","Yes",72,"Yes","Artist",0,"Average",2,3
"129","Female","Yes",28,"Yes","Engineer",0,"Low",2,1
"130","Male","No",35,"Yes","Entertainment",8,"Low",5,5
"131","Male","Yes",39,"Yes","Executive",9,"High",5,2
"132","Female","Yes",69,"Yes","Lawyer",0,"High",2,4
"133","Male","No",18,"No","Healthcare",6,"Low",4,6
"135","Female","Yes",50,"Yes","Engineer",1,"High",2,1
"136","Male","No",30,"No","Executive",5,"Low",5,2
"138","Female","No",39,"Yes","Artist",3,"Low",4,5
"139","Female","No",29,"No","Marketing",8,"Low",4,5
"140","Female","Yes",37,"Yes","Artist",4,"Low",4,5
"141","Female","Yes",39,"Yes","Engineer",0,"Average",2,1
"142","Female","Yes",48,"Yes","Artist",0,"Average",5,3
"143","Female","No",32,"Yes","Doctor",0,"Low",3,5
"145","Female","Yes",43,"No","Engineer",0,"Average",5,1
"146","Male","No",29,"No","Marketing",8,"Low",5,5
"147","Female","Yes",28,"No","Engineer",9,"Average",2,1
"148","Male","Yes",80,"Yes","Lawyer",1,"Low",1,4
"149","Female","No",28,"Yes","Healthcare",7,"Low",4,6
"150","Male","Yes",71,"Yes","Artist",6,"Average",3,3
"151","Male","Yes",67,"No","Lawyer",0,"High",9,4
"152","Female","No",26,"No","Engineer",0,"Low",1,1
"153","Female","Yes",47,"Yes","Engineer",0,"Average",2,1
"154","Female","Yes",43,"Yes","Artist",2,"Average",2,3
"155","Female","No",27,"Yes","Healthcare",0,"Low",4,6
"156","Female","Yes",45,"Yes","Marketing",8,"Low",4,5
"157","Male","Yes",76,"No","Executive",1,"Low",1,2
"158","Female","Yes",43,"Yes","Artist",3,"Average",4,3
"159","Female","Yes",78,"Yes","Lawyer",1,"High",2,4
"160","Male","Yes",35,"Yes","Artist",3,"Average",3,3
"161","Female","No",49,"Yes","Artist",1,"Low",1,5
"162","Female","No",25,"Yes","Healthcare",1,"Low",5,6
"163","Male","Yes",37,"No","Executive",0,"Average",5,2
"164","Female","No",32,"No","Healthcare",1,"Low",5,6
"165","Male","Yes",60,"Yes","Doctor",0,"Average",2,3
"166","Female","Yes",45,"Yes","Artist",5,"Average",3,3
"167","Female","Yes",49,"Yes","Homemaker",9,"Average",3,1
"168","Male","No",32,"Yes","Artist",0,"Low",5,5
"169","Female","Yes",40,"Yes","Artist",0,"Low",3,5
"170","Male","Yes",59,"No","Artist",2,"Average",2,3
"171","Male","Yes",48,"Yes","Artist",3,"Low",5,5
"172","Male","Yes",82,"Yes","Executive",0,"High",2,2
"173","Female","Yes",70,"Yes","Lawyer",0,"Low",2,4
"174","Male","No",31,"Yes","Artist",5,"Low",2,5
"175","Female","Yes",72,"Yes","Lawyer",0,"High",2,4
"176","Male","Yes",50,"Yes","Artist",3,"Average",4,3
"177","Female","No",23,"No","Engineer",11,"Low",1,1
"178","Female","No",20,"No","Healthcare",2,"Low",6,6
"179","Female","No",22,"No","Healthcare",4,"Low",3,6
"180","Female","No",31,"Yes","Engineer",8,"Low",1,1
"181","Female","Yes",36,"Yes","Artist",7,"Average",2,3
"184","Male","Yes",40,"Yes","Artist",4,"Average",4,3
"185","Female","No",40,"Yes","Artist",1,"Low",1,5
"188","Female","No",21,"No","Doctor",1,"Low",3,5
"189","Female","Yes",41,"No","Engineer",4,"Average",2,1
"190","Male","Yes",40,"Yes","Artist",0,"Low",2,5
"191","Male","Yes",53,"Yes","Artist",1,"Average",3,3
"192","Female","Yes",42,"Yes","Artist",5,"Low",2,5
"193","Male","Yes",42,"No","Executive",8,"Low",2,2
"195","Male","Yes",59,"Yes","Artist",7,"Low",2,5
"196","Male","Yes",41,"Yes","Executive",1,"Average",3,2
"197","Female","Yes",31,"Yes","Artist",0,"Average",2,3
"198","Female","Yes",49,"Yes","Artist",1,"High",5,5
"199","Male","Yes",67,"Yes","Executive",1,"Low",2,2
"200","Male","Yes",35,"No","Artist",4,"Average",2,3
"201","Female","No",26,"Yes","Healthcare",0,"Low",3,6
"203","Female","Yes",25,"No","Engineer",6,"Average",8,1
"204","Female","Yes",39,"Yes","Healthcare",4,"Low",2,6
"205","Male","Yes",63,"Yes","Entertainment",0,"Low",2,5
"206","Male","No",23,"No","Healthcare",8,"Low",3,6
"207","Female","No",23,"No","Healthcare",0,"Low",3,6
"208","Female","Yes",53,"Yes","Artist",2,"Low",1,5
"209","Male","No",33,"Yes","Doctor",0,"Low",2,5
"211","Female","Yes",69,"Yes","Engineer",0,"Low",2,1
"212","Male","No",37,"Yes","Artist",2,"Low",1,5
"213","Female","No",20,"No","Marketing",3,"Low",4,5
"215","Female","Yes",49,"Yes","Doctor",1,"Average",4,3
"216","Male","No",18,"No","Healthcare",0,"Low",3,6
"217","Female","Yes",52,"Yes","Doctor",0,"Average",2,3
"222","Male","Yes",28,"Yes","Engineer",0,"Average",2,1
"223","Female","No",28,"Yes","Artist",7,"Low",3,5
"224","Male","No",20,"No","Healthcare",0,"Low",5,6
"225","Female","No",27,"No","Homemaker",8,"Low",1,1
"227","Male","Yes",45,"Yes","Artist",4,"Average",4,3
"228","Male","No",25,"Yes","Healthcare",1,"Low",4,6
"229","Male","No",40,"No","Marketing",1,"Low",1,5
"232","Female","No",23,"No","Healthcare",0,"Low",4,6
"233","Female","Yes",67,"Yes","Lawyer",0,"High",2,4
"234","Male","No",21,"No","Healthcare",0,"Low",4,6
"235","Female","No",38,"Yes","Artist",9,"Low",1,5
"236","Male","No",28,"No","Healthcare",0,"Low",4,6
"237","Female","No",32,"No","Healthcare",1,"Low",5,6
"239","Female","Yes",56,"No","Lawyer",1,"High",4,4
"240","Female","Yes",53,"Yes","Artist",1,"Low",2,5
"241","Male","Yes",57,"No","Executive",1,"High",5,2
"242","Female","Yes",59,"Yes","Artist",0,"Average",3,3
"243","Female","Yes",25,"Yes","Healthcare",1,"High",4,6
"244","Male","Yes",59,"Yes","Artist",0,"Average",6,3
"245","Female","Yes",36,"Yes","Artist",0,"Low",4,5
"246","Male","Yes",37,"Yes","Entertainment",7,"Low",2,5
"247","Male","No",22,"No","Doctor",1,"Low",3,5
"248","Male","Yes",43,"Yes","Artist",1,"Low",2,5
"249","Male","Yes",41,"Yes","Artist",1,"Low",2,5
"250","Female","No",21,"No","Engineer",0,"Low",5,1
"252","Male","No",38,"Yes","Doctor",8,"Low",1,5
"254","Male","Yes",70,"Yes","Lawyer",1,"High",3,4
"255","Female","No",31,"No","Engineer",1,"Low",4,1
"256","Female","Yes",82,"No","Lawyer",0,"Average",2,4
"259","Male","No",38,"Yes","Artist",8,"Low",3,5
"260","Male","Yes",18,"No","Executive",0,"High",4,2
"261","Male","Yes",50,"Yes","Artist",6,"Average",3,3
"263","Female","Yes",72,"No","Lawyer",1,"High",3,4
"265","Female","No",25,"No","Homemaker",1,"Low",7,1
"266","Female","Yes",75,"No","Entertainment",2,"High",2,5
"267","Male","No",72,"Yes","Artist",1,"Low",1,5
"268","Female","Yes",72,"Yes","Artist",0,"Average",3,3
"269","Male","Yes",36,"Yes","Entertainment",6,"Low",6,5
"270","Male","Yes",40,"Yes","Artist",1,"Low",2,5
"271","Female","No",28,"Yes","Entertainment",0,"Low",4,5
"272","Female","No",28,"Yes","Doctor",0,"Low",3,5
"274","Male","Yes",43,"Yes","Artist",0,"Low",2,5
"275","Female","Yes",35,"Yes","Artist",1,"Average",2,3
"276","Male","Yes",65,"Yes","Lawyer",1,"High",2,4
"277","Male","Yes",52,"Yes","Executive",7,"High",4,2
"278","Female","No",40,"Yes","Artist",1,"Low",1,5
"279","Female","Yes",69,"No","Engineer",9,"Low",3,1
"280","Female","No",22,"No","Healthcare",3,"Low",3,6
"281","Male","Yes",47,"Yes","Executive",1,"Average",4,2
"282","Male","Yes",29,"Yes","Marketing",1,"High",2,5
"283","Male","Yes",46,"Yes","Artist",1,"Average",3,3
"284","Male","No",32,"Yes","Artist",1,"Low",2,5
"285","Female","No",38,"Yes","Healthcare",0,"Low",1,6
"286","Male","Yes",59,"Yes","Artist",0,"Low",1,5
"287","Female","No",26,"Yes","Entertainment",1,"Low",1,5
"288","Male","No",26,"Yes","Healthcare",1,"Low",2,6
"289","Male","No",28,"No","Marketing",0,"Low",1,5
"290","Female","Yes",53,"Yes","Engineer",1,"Average",3,1
"292","Male","No",27,"No","Doctor",1,"Low",3,5
"294","Male","No",26,"No","Engineer",0,"Low",4,1
"295","Female","No",31,"No","Entertainment",0,"Low",2,5
"296","Male","Yes",39,"Yes","Executive",1,"High",3,2
"297","Female","Yes",43,"No","Engineer",1,"Low",3,1
"298","Male","Yes",25,"No","Doctor",1,"Low",2,5
"299","Male","Yes",40,"Yes","Artist",3,"High",3,5
"300","Female","Yes",40,"Yes","Entertainment",7,"Average",2,3
"303","Male","No",27,"Yes","Healthcare",1,"Low",3,6
"304","Female","No",19,"No","Healthcare",1,"Low",2,6
"305","Female","Yes",86,"Yes","Lawyer",0,"High",2,4
"307","Female","Yes",27,"Yes","Artist",4,"Average",2,3
"308","Female","Yes",70,"No","Doctor",0,"Average",2,3
"309","Female","Yes",53,"No","Engineer",8,"Average",4,1
"314","Male","Yes",43,"No","Executive",0,"High",4,2
"315","Male","Yes",36,"No","Doctor",6,"Low",3,5
"316","Male","Yes",74,"Yes","Lawyer",0,"Low",2,4
"317","Female","No",30,"No","Homemaker",0,"Low",4,1
"318","Female","No",37,"Yes","Artist",5,"Low",2,5
"319","Female","No",22,"No","Marketing",0,"Low",1,5
"320","Male","No",19,"No","Healthcare",0,"Low",4,6
"321","Male","Yes",70,"Yes","Engineer",4,"High",2,1
"322","Male","Yes",89,"Yes","Lawyer",13,"Low",1,4
"324","Male","No",25,"Yes","Doctor",6,"Low",1,5
"325","Female","No",45,"Yes","Artist",4,"Low",1,5
"326","Female","No",35,"Yes","Artist",3,"Low",1,5
"327","Female","Yes",37,"No","Engineer",7,"Low",1,1
"328","Female","Yes",39,"No","Engineer",4,"Average",2,1
"329","Female","No",32,"Yes","Healthcare",1,"Low",5,6
"330","Female","Yes",62,"Yes","Artist",2,"Average",3,3
"331","Female","Yes",58,"Yes","Engineer",0,"Average",4,1
"333","Male","No",25,"No","Healthcare",0,"Low",5,6
"334","Female","Yes",56,"Yes","Artist",0,"Average",4,3
"335","Female","No",36,"Yes","Entertainment",10,"Low",2,5
"336","Female","No",30,"No","Healthcare",8,"Low",3,6
"337","Male","No",19,"No","Healthcare",1,"Low",5,6
"338","Male","No",27,"Yes","Healthcare",0,"Low",2,6
"339","Female","No",38,"Yes","Doctor",14,"Low",1,5
"340","Male","Yes",46,"Yes","Artist",8,"Average",2,3
"341","Male","No",29,"Yes","Artist",3,"Low",1,5
"342","Male","Yes",51,"No","Entertainment",1,"Average",4,3
"343","Male","Yes",55,"No","Artist",0,"Low",1,5
"344","Female","Yes",69,"Yes","Engineer",1,"Low",1,1
"345","Female","No",26,"No","Healthcare",1,"Low",8,6
"346","Female","Yes",83,"Yes","Lawyer",0,"Low",3,4
"347","Female","No",39,"Yes","Healthcare",9,"Low",1,6
"348","Male","Yes",35,"Yes","Artist",9,"Low",1,5
"349","Male","Yes",19,"No","Marketing",2,"High",5,5
"354","Female","No",29,"No","Healthcare",1,"Low",3,6
"355","Female","No",26,"No","Doctor",0,"Low",1,5
"356","Male","No",36,"Yes","Engineer",8,"Low",1,1
"357","Female","No",22,"No","Homemaker",0,"Low",4,1
"358","Male","No",19,"No","Marketing",0,"Low",5,5
"359","Female","Yes",20,"Yes","Lawyer",1,"Average",3,3
"360","Male","No",43,"Yes","Healthcare",3,"Low",3,6
"362","Male","No",43,"Yes","Entertainment",1,"Low",2,5
"363","Female","Yes",50,"Yes","Engineer",4,"High",3,1
"364","Male","No",25,"Yes","Entertainment",1,"Low",2,5
"365","Male","Yes",61,"No","Artist",1,"High",2,5
"366","Female","Yes",28,"Yes","Healthcare",0,"Average",2,3
"367","Male","No",38,"Yes","Artist",1,"Low",1,5
"368","Male","No",25,"No","Executive",12,"Low",3,2
"369","Female","No",18,"No","Healthcare",9,"Low",5,6
"370","Male","Yes",43,"Yes","Entertainment",1,"Average",5,3
"371","Female","No",27,"Yes","Artist",8,"Low",1,5
"372","Female","No",60,"Yes","Entertainment",1,"Low",2,5
"373","Male","Yes",75,"Yes","Lawyer",2,"Low",1,4
"375","Male","No",23,"No","Doctor",6,"Low",4,5
"376","Male","No",36,"Yes","Artist",8,"Low",1,5
"377","Male","No",30,"No","Doctor",1,"Low",1,5
"378","Male","Yes",56,"No","Artist",1,"Average",2,3
"379","Female","Yes",52,"Yes","Artist",2,"Low",2,5
"380","Male","Yes",39,"Yes","Entertainment",0,"Low",1,5
"381","Female","No",35,"No","Artist",5,"Low",1,5
"382","Male","Yes",33,"No","Engineer",0,"Average",2,1
"383","Female","No",25,"Yes","Artist",0,"Low",6,5
"384","Female","Yes",27,"Yes","Artist",0,"Average",2,3
"385","Male","Yes",35,"Yes","Artist",1,"High",3,5
"386","Female","Yes",41,"Yes","Artist",1,"Average",2,3
"388","Female","Yes",46,"No","Artist",8,"Average",2,3
"391","Female","No",26,"Yes","Artist",9,"Low",1,5
"392","Male","Yes",43,"Yes","Doctor",13,"High",2,5
"393","Female","Yes",30,"Yes","Artist",8,"Low",4,5
"394","Female","Yes",70,"Yes","Artist",1,"Average",4,3
"396","Female","Yes",89,"No","Lawyer",3,"High",1,4
"397","Female","Yes",42,"No","Homemaker",6,"High",4,1
"398","Female","Yes",37,"Yes","Entertainment",6,"Average",3,3
"399","Male","Yes",29,"No","Executive",1,"Average",3,2
"400","Female","Yes",68,"Yes","Artist",1,"High",2,5
"401","Female","No",25,"No","Engineer",1,"Low",1,1
"403","Female","Yes",48,"Yes","Doctor",0,"Low",2,5
"404","Female","Yes",51,"Yes","Doctor",1,"Average",3,3
"405","Female","Yes",40,"Yes","Engineer",1,"High",5,1
"406","Male","Yes",47,"Yes","Artist",0,"Average",6,3
"408","Male","Yes",35,"Yes","Executive",1,"Average",4,2
"409","Female","No",19,"No","Healthcare",2,"Low",3,6
"411","Male","Yes",46,"Yes","Entertainment",0,"Average",3,3
"412","Male","Yes",86,"Yes","Lawyer",0,"Low",1,4
"413","Male","Yes",66,"Yes","Artist",0,"High",2,5
"414","Male","No",42,"No","Marketing",1,"Low",5,5
"415","Female","Yes",73,"Yes","Lawyer",1,"High",2,4
"416","Male","Yes",72,"No","Engineer",1,"Low",1,1
"417","Male","Yes",53,"Yes","Artist",0,"Low",3,5
"418","Female","Yes",39,"Yes","Artist",8,"Average",2,3
"419","Female","No",27,"No","Homemaker",9,"Low",1,1
"421","Female","No",23,"No","Healthcare",1,"Low",3,6
"422","Female","No",30,"Yes","Entertainment",0,"Low",4,5
"423","Female","Yes",39,"Yes","Artist",5,"Average",2,3
"424","Male","Yes",26,"Yes","Artist",1,"Average",3,3
"425","Female","Yes",50,"Yes","Entertainment",7,"Low",3,5
"426","Female","Yes",45,"Yes","Artist",1,"Average",2,3
"427","Female","No",62,"No","Entertainment",2,"Low",1,5
"428","Female","No",27,"Yes","Doctor",1,"Low",3,5
"430","Female","Yes",30,"No","Engineer",1,"Average",7,1
"431","Male","No",32,"No","Healthcare",7,"Low",4,6
"433","Male","No",47,"No","Artist",3,"Low",3,5
"434","Female","No",32,"Yes","Artist",4,"Low",4,5
"435","Female","Yes",32,"No","Engineer",5,"Low",3,1
"436","Male","Yes",67,"Yes","Doctor",1,"Average",4,3
"437","Female","Yes",77,"Yes","Lawyer",0,"High",2,4
"439","Male","No",31,"No","Entertainment",1,"Low",1,5
"440","Male","Yes",42,"Yes","Artist",0,"Low",3,5
"442","Male","Yes",50,"Yes","Artist",1,"Average",4,3
"443","Male","Yes",71,"Yes","Artist",0,"Average",5,3
"444","Female","Yes",72,"No","Lawyer",1,"Low",3,4
"446","Male","Yes",45,"Yes","Artist",9,"Average",2,3
"447","Female","No",40,"No","Engineer",9,"Low",5,1
"448","Female","No",36,"Yes","Engineer",4,"Low",1,1
"450","Male","No",30,"No","Healthcare",4,"Low",4,6
"451","Female","No",29,"Yes","Healthcare",2,"Low",4,6
"452","Male","No",28,"Yes","Engineer",0,"Low",5,1
"455","Female","Yes",40,"Yes","Artist",1,"Average",2,3
"456","Female","Yes",52,"Yes","Artist",14,"Average",2,3
"458","Male","No",26,"No","Artist",6,"Low",6,6
"459","Female","No",55,"Yes","Marketing",3,"Low",1,5
"460","Female","No",20,"No","Doctor",4,"Low",4,5
"461","Female","Yes",87,"Yes","Lawyer",0,"High",2,4
"462","Male","No",28,"No","Healthcare",0,"Low",2,6
"463","Male","No",38,"No","Artist",2,"Low",2,5
"464","Male","Yes",42,"No","Entertainment",1,"Low",2,5
"465","Male","Yes",42,"No","Marketing",0,"High",6,5
"466","Female","No",29,"No","Engineer",1,"Low",4,1
"467","Male","No",32,"Yes","Doctor",0,"Low",4,5
"469","Female","Yes",59,"No","Artist",1,"High",2,5
"470","Male","No",22,"No","Healthcare",0,"Low",2,6
"472","Female","Yes",78,"Yes","Artist",1,"High",2,5
"473","Female","No",32,"Yes","Healthcare",0,"Low",3,6
"474","Male","Yes",37,"Yes","Artist",0,"Average",4,3
"475","Male","Yes",37,"Yes","Healthcare",1,"High",4,6
"477","Male","Yes",47,"No","Artist",0,"High",4,5
"478","Female","Yes",68,"Yes","Lawyer",0,"High",2,4
"479","Male","No",30,"Yes","Healthcare",3,"Low",5,6
"480","Female","Yes",48,"Yes","Entertainment",2,"Low",1,5
"481","Female","No",43,"Yes","Artist",6,"Low",1,5
"482","Male","Yes",33,"Yes","Healthcare",9,"Low",2,6
"483","Male","Yes",31,"No","Healthcare",0,"Average",5,6
"484","Male","Yes",32,"Yes","Healthcare",1,"Low",2,6
"485","Female","No",21,"No","Healthcare",1,"Low",4,6
"486","Female","No",29,"No","Homemaker",2,"Low",4,1
"487","Female","Yes",35,"Yes","Artist",1,"Low",2,5
"488","Male","Yes",46,"No","Artist",0,"Low",3,5
"489","Female","Yes",38,"Yes","Artist",9,"High",2,5
"490","Female","No",32,"Yes","Healthcare",1,"Low",3,6
"491","Female","No",28,"Yes","Artist",3,"Low",7,5
"492","Female","Yes",68,"Yes","Lawyer",3,"Low",1,4
"493","Female","Yes",45,"Yes","Artist",4,"Low",1,5
"494","Male","Yes",58,"Yes","Artist",0,"Average",3,3
"495","Male","No",28,"No","Entertainment",1,"Low",2,5
"496","Female","No",32,"No","Healthcare",12,"Low",3,6
"497","Male","No",30,"Yes","Doctor",1,"Low",1,5
"498","Female","Yes",42,"No","Homemaker",3,"Average",4,1
"501","Female","No",18,"No","Healthcare",6,"Low",4,6
"502","Female","Yes",29,"Yes","Healthcare",8,"Low",3,6
"503","Female","No",33,"Yes","Healthcare",0,"Low",3,6
"505","Female","Yes",57,"Yes","Doctor",1,"Low",2,5
"506","Male","Yes",36,"Yes","Executive",1,"Low",3,2
"507","Male","Yes",57,"Yes","Executive",1,"High",3,2
"508","Male","No",18,"No","Healthcare",1,"Low",2,6
"510","Male","Yes",52,"Yes","Artist",1,"Average",6,3
"512","Female","Yes",37,"Yes","Entertainment",0,"Average",2,3
"513","Male","No",36,"Yes","Marketing",0,"Low",1,5
"514","Female","No",29,"Yes","Healthcare",9,"Low",3,6
"515","Male","Yes",45,"Yes","Artist",1,"Average",4,3
"516","Male","No",61,"Yes","Artist",0,"Low",1,5
"517","Male","Yes",52,"Yes","Entertainment",1,"Average",4,3
"518","Female","Yes",49,"Yes","Homemaker",14,"Low",1,1
"520","Female","No",31,"No","Healthcare",1,"Low",5,6
"521","Male","Yes",42,"No","Entertainment",1,"Low",3,5
"522","Male","Yes",51,"Yes","Engineer",1,"Average",5,1
"523","Female","No",42,"Yes","Healthcare",8,"Low",1,6
"524","Male","No",29,"Yes","Doctor",1,"Low",4,5
"525","Female","No",33,"Yes","Healthcare",8,"Low",1,6
"527","Female","No",21,"No","Healthcare",0,"Low",4,6
"528","Male","Yes",35,"No","Artist",9,"Average",3,3
"529","Female","No",42,"Yes","Doctor",0,"Low",1,5
"530","Female","No",41,"Yes","Artist",2,"Low",1,5
"531","Male","No",39,"Yes","Artist",0,"Low",3,5
"532","Female","No",28,"No","Doctor",14,"Low",1,5
"534","Female","Yes",61,"Yes","Doctor",1,"Average",2,3
"535","Male","Yes",62,"Yes","Artist",0,"Average",4,3
"536","Male","Yes",65,"Yes","Entertainment",1,"Average",2,3
"537","Male","Yes",45,"Yes","Doctor",1,"Average",2,3
"538","Female","Yes",26,"Yes","Engineer",9,"Low",2,1
"539","Female","No",25,"Yes","Artist",4,"Low",5,5
"540","Female","Yes",45,"Yes","Artist",1,"Average",4,3
"541","Male","Yes",43,"No","Executive",0,"High",4,2
"542","Male","Yes",49,"Yes","Executive",1,"High",3,2
"543","Male","Yes",55,"Yes","Artist",1,"Average",2,3
"544","Female","No",37,"Yes","Artist",3,"Low",1,5
"545","Male","Yes",65,"Yes","Entertainment",1,"High",2,5
"547","Female","No",39,"No","Engineer",0,"Low",3,1
"548","Female","Yes",40,"Yes","Artist",2,"Average",2,3
"549","Male","Yes",72,"Yes","Entertainment",1,"Average",3,3
"550","Female","No",38,"No","Homemaker",5,"Low",1,1
